Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,BUF,NBA,C,78,NA,3186,6.5,14.4,0.454,2.2,4.1,0.534,NA,NA,13.4,1.3,NA,NA,NA,3.5,15.3
1972-73,23,BUF,NBA,C,76,NA,2829,7.6,15.8,0.482,2.4,4.3,0.558,NA,NA,12,2.4,NA,NA,NA,3.8,17.7
1973-74,24,LAL,NBA,C,81,NA,2922,5.3,11.7,0.457,1.8,3.1,0.59,2.5,8.6,11.2,1.8,0.9,4.8,NA,3.8,12.5
1974-75,25,LAL,NBA,C,74,NA,2341,5.3,10.8,0.493,1.7,3.6,0.485,3.2,9.2,12.5,2.2,1.3,3.3,NA,3.9,12.4
1975-76,26,MIL,NBA,C,78,NA,2809,6.4,12.3,0.518,2.8,4.5,0.632,2.6,8.9,11.4,1.2,1,3.1,NA,3.4,15.6
1976-77,27,TOT,NBA,C,70,NA,1464,5.9,12.5,0.475,2.9,5.2,0.549,2.8,8,10.8,1.1,0.9,3.5,NA,5.1,14.7
1976-77,27,MIL,NBA,C,34,NA,789,5.2,11.5,0.447,2.8,4.8,0.581,2.4,7.1,9.5,1.4,0.9,3.1,NA,5,13.1
1976-77,27,CLE,NBA,C,36,NA,675,6.8,13.5,0.504,3,5.8,0.519,3.3,9,12.3,0.7,0.9,4,NA,5.2,16.6
1977-78,28,CLE,NBA,C,81,NA,1996,7.3,14.6,0.497,3.7,5.6,0.663,3.2,9,12.2,1,0.9,3.2,2.5,4.3,18.2
1978-79,29,CLE,NBA,C,24,NA,332,7.5,14.1,0.531,2,2.8,0.692,4.9,6.6,11.5,1.4,0.8,1.7,4.6,6.5,16.9
Career,NA,,NBA,,562,NA,17879,6.4,13.2,0.482,2.4,4.2,0.579,2.9,8.7,12,1.6,1,3.6,2.8,3.9,15.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,155,NA,5263,5.3,11.3,0.472,1.8,3.3,0.54,2.8,8.9,11.7,2,1.1,4.2,NA,3.9,12.4
2 seasons,NA,BUF,NBA,,154,NA,6015,7.1,15.1,0.468,2.3,4.2,0.546,NA,NA,12.7,1.8,NA,NA,NA,3.6,16.4
3 seasons,NA,CLE,NBA,,141,NA,3003,7.2,14.3,0.502,3.3,5.3,0.63,3.4,8.8,12.2,1,0.9,3.2,2.8,4.8,17.7
2 seasons,NA,MIL,NBA,,112,NA,3598,6.1,12.2,0.503,2.8,4.6,0.621,2.5,8.5,11,1.3,1,3.1,NA,3.8,15.1
