Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Elmore Smith,,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3
Tom Boerwinkle,93.5,9,7.4,6.3,4.4,3.8,2.6,1.7,0.5
Sam Lacey,91.0,7.7,7.4,5.6,5,4.3,2.7,1.2,0.3
Ray Felix,88.6,8.6,7.2,5.8,5.5,5.5,2,1.8,0.8
Mike Gminski,88.2,9.2,6.5,6.1,5.4,4.3,4,1.8,1.5
Andrew Bogut,87.9,7.5,5.5,5.4,4.8,4,2.6,1.7,0.5
Marcus Camby,87.3,10.3,6.9,5.9,3.7,3.5,2.1,1.5,0.9
Darryl Dawkins,87.2,6.4,6.3,5.7,4.6,4,2.9,2.1,0.1
Elden Campbell,87.1,8.2,7,4.7,4.2,3.8,3.3,2.6,1.1
Robin Lopez,87.0,9.5,5.8,5.6,5.1,3.2,2.1,1.5,1.1
Steve Stipanovich,85.8,9,6.9,5.9,5,3.6,NA,NA,NA
