Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,BUF,NBA,C,78,NA,40.8,7.4,16.3,0.454,2.5,4.7,0.534,NA,NA,15.2,1.4,NA,NA,NA,3.9,17.3
1972-73,23,BUF,NBA,C,76,NA,37.2,7.9,16.4,0.482,2.5,4.4,0.558,NA,NA,12.4,2.5,NA,NA,NA,3.9,18.3
1973-74,24,LAL,NBA,C,81,NA,36.1,5.4,11.7,0.457,1.8,3.1,0.59,2.5,8.7,11.2,1.9,0.9,4.9,NA,3.8,12.5
1974-75,25,LAL,NBA,C,74,NA,31.6,4.7,9.5,0.493,1.5,3.1,0.485,2.8,8.1,10.9,2,1.1,2.9,NA,3.4,10.9
1975-76,26,MIL,NBA,C,78,NA,36,6.4,12.3,0.518,2.8,4.5,0.632,2.6,8.9,11.4,1.2,1,3.1,NA,3.4,15.6
1976-77,27,TOT,NBA,C,70,NA,20.9,3.4,7.2,0.475,1.7,3,0.549,1.6,4.6,6.3,0.6,0.5,2.1,NA,3,8.6
1976-77,27,MIL,NBA,C,34,NA,23.2,3.3,7.4,0.447,1.8,3.1,0.581,1.5,4.6,6.1,0.9,0.6,2,NA,3.2,8.4
1976-77,27,CLE,NBA,C,36,NA,18.8,3.6,7.1,0.504,1.6,3,0.519,1.7,4.7,6.4,0.4,0.4,2.1,NA,2.7,8.7
1977-78,28,CLE,NBA,C,81,NA,24.6,5,10,0.497,2.5,3.8,0.663,2.2,6.2,8.4,0.7,0.6,2.2,1.7,3,12.5
1978-79,29,CLE,NBA,C,24,NA,13.8,2.9,5.4,0.531,0.8,1.1,0.692,1.9,2.5,4.4,0.5,0.3,0.7,1.8,2.5,6.5
Career,NA,,NBA,,562,NA,31.8,5.6,11.7,0.482,2.1,3.7,0.579,2.3,7.1,10.6,1.4,0.8,2.9,1.7,3.5,13.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,155,NA,34,5,10.7,0.472,1.7,3.1,0.54,2.7,8.4,11.1,1.9,1,3.9,NA,3.6,11.7
2 seasons,NA,BUF,NBA,,154,NA,39.1,7.7,16.4,0.468,2.5,4.5,0.546,NA,NA,13.8,2,NA,NA,NA,3.9,17.8
3 seasons,NA,CLE,NBA,,141,NA,21.3,4.2,8.5,0.502,2,3.1,0.63,2,5.2,7.2,0.6,0.5,1.9,1.7,2.8,10.5
2 seasons,NA,MIL,NBA,,112,NA,32.1,5.5,10.8,0.503,2.5,4.1,0.621,2.3,7.6,9.8,1.1,0.9,2.7,NA,3.4,13.4
