Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,24,LAL,NBA,C,81,NA,2922,6.4,14,0.457,2.2,3.7,0.59,3,10.3,13.3,2.2,1,5.8,NA,4.5,14.9,NA,NA,92
1974-75,25,LAL,NBA,C,74,NA,2341,6.7,13.5,0.493,2.2,4.5,0.485,4,11.6,15.6,2.8,1.6,4.2,NA,4.9,15.5,NA,NA,93
1975-76,26,MIL,NBA,C,78,NA,2809,8.2,15.8,0.518,3.7,5.8,0.632,3.3,11.4,14.7,1.6,1.3,3.9,NA,4.4,20,NA,NA,94
1976-77,27,TOT,NBA,C,70,NA,1464,7.5,15.8,0.475,3.6,6.6,0.549,3.6,10.1,13.7,1.3,1.1,4.5,NA,6.5,18.7,NA,NA,96
1976-77,27,MIL,NBA,C,34,NA,789,6.3,14.2,0.447,3.4,5.9,0.581,2.9,8.8,11.7,1.7,1.1,3.9,NA,6.1,16.1,NA,NA,100
1976-77,27,CLE,NBA,C,36,NA,675,9,17.8,0.504,3.9,7.6,0.519,4.3,11.8,16.2,0.9,1.1,5.3,NA,6.9,21.9,NA,NA,92
1977-78,28,CLE,NBA,C,81,NA,1996,9.3,18.8,0.497,4.8,7.2,0.663,4.1,11.6,15.8,1.3,1.2,4.1,3.3,5.6,23.4,NA,104,94
1978-79,29,CLE,NBA,C,24,NA,332,9.7,18.3,0.531,2.5,3.7,0.692,6.3,8.6,14.9,1.8,1,2.3,5.9,8.4,22,NA,96,105
Career,NA,,NBA,,408,NA,11864,7.6,15.4,0.49,3.1,5.2,0.595,3.6,11,14.6,1.9,1.2,4.5,0.7,5.1,18.3,NA,103,94
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,155,NA,5263,6.5,13.8,0.472,2.2,4,0.54,3.5,10.9,14.3,2.5,1.3,5.1,NA,4.7,15.2,NA,NA,92
3 seasons,NA,CLE,NBA,,141,NA,3003,9.3,18.5,0.502,4.3,6.9,0.63,4.4,11.3,15.8,1.3,1.1,4.1,2.8,6.2,22.9,NA,103,95
2 seasons,NA,MIL,NBA,,112,NA,3598,7.8,15.5,0.503,3.6,5.8,0.621,3.2,10.8,14,1.6,1.2,3.9,NA,4.8,19.2,NA,NA,95
