Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Elmore Smith,,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA,NA
Tom Boerwinkle,88.8,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,NA,NA
Steve Stipanovich,85.8,9,6.9,5.9,5,3.6,NA,NA,NA,NA,NA,NA,NA
Ray Felix,85.6,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA,NA,NA
Chuck Share,84.9,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA,NA,NA
Neal Walk,83.6,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,NA,NA,NA,NA
Andrew Bynum,83.0,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA,NA,NA
Nikola Vučević,82.8,10.1,7,5.7,5.2,4.4,4,3.6,1.8,NA,NA,NA,NA
Enes Kanter,82.1,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA,NA,NA
Darrall Imhoff,81.0,8.2,5.9,5,4.9,2.4,2.1,0.9,0.7,0.7,0,-0.2,-0.6
Stan Miasek,80.8,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA,NA,NA,NA
