Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1971-72,22,BUF,NBA,C,78,3186,15,0.471,0.285,NA,NA,18,5.1,NA,NA,NA,NA,NA,0.4,1.1,1.5,0.022,NA,NA,NA,NA,NA
1972-73,23,BUF,NBA,C,76,2829,16.5,0.498,0.271,NA,NA,15.6,9.9,NA,NA,NA,NA,NA,3,0.9,3.9,0.067,NA,NA,NA,NA,NA
1973-74,24,LAL,NBA,C,81,2922,14.5,0.479,0.262,6.6,21.1,14.2,6.9,1,6.4,NA,NA,NA,0.5,5.4,5.9,0.097,NA,-1.4,2.5,1.1,2.3
1974-75,25,LAL,NBA,C,74,2341,15.9,0.5,0.329,8.6,24.3,16.5,8.7,1.6,4.6,NA,NA,NA,1,3.7,4.7,0.097,NA,-0.6,1.7,1.1,1.8
1975-76,26,MIL,NBA,C,78,2809,17.7,0.545,0.365,7.7,24.9,16.6,5,1.3,4.4,NA,NA,NA,4.1,4.7,8.7,0.149,NA,0.8,1.3,2.1,2.9
1976-77,27,TOT,NBA,C,70,1464,14.9,0.499,0.42,7.8,23.2,15.4,3.9,1.1,5.2,NA,NA,NA,0.7,2.2,2.9,0.094,NA,-1.7,1.2,-0.4,0.6
1976-77,27,MIL,NBA,C,34,789,12.6,0.48,0.415,6.8,20.6,13.6,4.8,1.1,4.4,NA,NA,NA,0,0.8,0.8,0.051,NA,-2.5,0.6,-1.9,0
1976-77,27,CLE,NBA,C,36,675,17.6,0.517,0.425,9,26.3,17.4,2.8,1.1,6,NA,NA,NA,0.7,1.4,2,0.145,NA,-0.7,2,1.3,0.6
1977-78,28,CLE,NBA,C,81,1996,19.9,0.534,0.382,8.9,25.6,17.2,4.2,1.2,4.6,13,21.6,NA,3,3.8,6.8,0.164,NA,0.6,1.4,2,2
1978-79,29,CLE,NBA,C,24,332,14.5,0.551,0.2,14,21.4,17.5,5.6,1,2.7,22.9,22,NA,0,0.3,0.3,0.046,NA,-2.6,-1,-3.6,-0.1
Career,NA,,NBA,,562,17879,16.2,0.503,0.316,8,23.7,16.3,6.4,1.2,5,14.4,21.6,NA,12.7,22,34.7,0.093,NA,-0.4,1.6,1.2,9.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,155,5263,15.1,0.488,0.291,7.5,22.5,15.2,7.7,1.3,5.6,NA,NA,NA,1.5,9.1,10.6,0.097,NA,-1,2.1,1.1,4.1
2 seasons,NA,BUF,NBA,,154,6015,15.7,0.485,0.278,NA,NA,16.9,7.4,NA,NA,NA,NA,NA,3.4,2,5.4,0.043,NA,NA,NA,NA,NA
3 seasons,NA,CLE,NBA,,141,3003,18.8,0.532,0.371,9.5,25.3,17.3,4.1,1.1,4.7,14.4,21.6,NA,3.7,5.5,9.2,0.147,NA,0,1.3,1.2,2.4
2 seasons,NA,MIL,NBA,,112,3598,16.6,0.532,0.375,7.5,24,15.9,4.9,1.2,4.4,NA,NA,NA,4.1,5.5,9.6,0.127,NA,0.1,1.1,1.2,2.9
