Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1973-74,24,LAL,NBA,C,5,171,19.7,0.503,0.193,9.6,20.9,14.7,6.7,1.9,2.4,NA,NA,NA,0.2,0.1,0.4,0.1,NA,1.5,0.4,1.8,0.2
1975-76,26,MIL,NBA,C,3,104,15.8,0.607,0.778,7.1,17.1,13,1.3,0.9,5.1,NA,NA,NA,0.1,0,0.2,0.082,NA,-1.6,1.4,-0.2,0
1976-77,27,CLE,NBA,C,3,56,25.6,0.561,0.242,9.1,34.5,20.4,3.4,4.1,3.1,NA,NA,NA,0.1,0.2,0.3,0.281,NA,5.7,3.4,9.1,0.2
1977-78,28,CLE,NBA,C,2,56,14.5,0.469,0.25,11.6,28.9,19.6,0,2.5,2.8,15.8,21.7,NA,0,0,0,-0.005,NA,-5.3,0.4,-5,0
Career,NA,,NBA,,13,387,18.8,0.529,0.302,9.1,23,15.8,3.8,2,3.3,15.8,21.7,NA,0.5,0.4,0.9,0.106,NA,0.3,1.1,1.4,0.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,5,112,20,0.522,0.246,10.3,31.7,20,1.7,3.3,3,15.8,21.7,NA,0.1,0.2,0.3,0.138,NA,0.2,1.9,2.1,0.1
1 season,NA,LAL,NBA,,5,171,19.7,0.503,0.193,9.6,20.9,14.7,6.7,1.9,2.4,NA,NA,NA,0.2,0.1,0.4,0.1,NA,1.5,0.4,1.8,0.2
1 season,NA,MIL,NBA,,3,104,15.8,0.607,0.778,7.1,17.1,13,1.3,0.9,5.1,NA,NA,NA,0.1,0,0.2,0.082,NA,-1.6,1.4,-0.2,0
