,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1988-89,23,CHI,NBA,,5,8,0,1,5,7,2,3,3,2,3,1,0,0,0,3,12,8.9
1989-90,24,CHI,NBA,,4,8,1,1,4,8,6,9,2,3,5,1,0,3,1,3,15,13.1
1990-91,25,CHI,NBA,,6,10,0,0,6,10,4,6,6,4,10,1,1,2,2,6,16,14.4
1991-92,26,CHI,NBA,,6,8,0,1,6,8,4,6,6,4,10,3,1,4,3,6,16,17.7
1992-93,27,CHI,NBA,,3,6,0,0,3,6,2,4,7,4,9,2,1,2,4,5,8,9.6
1994-95,29,CHI,NBA,,4,7,0,0,4,7,4,6,3,5,8,3,1,2,3,5,11,9.0
1995-96,30,SAS,NBA,,8,9,0,0,8,9,4,6,4,8,12,4,1,2,3,4,17,15.2
1997-98,32,SAS,NBA,32:43,4,5,0,0,4,5,6,6,5,8,11,1,2,3,3,5,10,10.6
1998-99,33,SAS,NBA,21:23,3,6,0,0,3,6,1,2,3,6,9,0,0,1,1,5,6,4.7
2000-01,35,POR,NBA,3:06,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0.2
Career,,,,32:43,8,10,1,1,8,10,6,9,7,8,12,4,2,4,4,6,17,17.7
6 Seasons,,CHI,NBA,,6,10,1,1,6,10,6,9,7,5,10,3,1,4,4,6,16,17.7
3 Seasons,,SAS,NBA,32:43,8,9,0,0,8,9,6,6,5,8,12,4,2,3,3,5,17,15.2
1 Season,,POR,NBA,3:06,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0.2
