Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Anthony Morrow,,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7
Dell Curry,89.7,5,3.4,3.3,3.2,2.7,2,1.8,0.9,0.5
Johnny Egan,89.3,5.1,3.6,3.2,3.1,3.1,2,1.4,1.3,0
Randy Foye,89.1,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1
Steve Blake,89.0,5.8,3.8,3.3,2.8,2.1,1.8,1,0.7,0.3
Chris Childs,88.5,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1
Darnell Valentine,88.1,5,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1
Scott Brooks,87.8,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,0.7
Maurice Evans,86.9,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1
Darwin Cook,86.8,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA
Vernon Maxwell,86.2,5.9,3.9,3.9,3.5,2.8,1.9,1.5,0.9,0
