Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Anthony Morrow,,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA
Johnny Egan,89.6,5.1,3.6,3.2,3.1,3.1,2,1.4,1.3,0.5,0.5,0,NA
Chris Childs,88.5,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA,NA,NA
George McCloud,88.4,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7
Darnell Valentine,88.1,5,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1,NA,NA,NA
Randy Foye,87.6,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1,0.4,0.2,NA
Lionel Hollins,87.3,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,NA,NA
Keith Bogans,86.9,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0,NA
Blue Edwards,86.9,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1,NA,NA
Maurice Evans,86.9,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA,NA,NA
Darwin Cook,86.8,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA,NA,NA
