Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob Nash,,2.1,1.1,0.1,-0.2,-0.7
Fred Foster,77.0,2.1,1.1,0.4,-0.2,-0.9
Tariq Abdul-Wahad,72.5,2.2,1.4,0,-0.2,-0.4
Chris Copeland,67.8,2.1,1,-0.1,-0.1,NA
Jim Bradley,62.6,2.3,1.3,0.1,NA,NA
Monty Williams,62.5,2.3,1.2,0.3,0,-0.1
Dick Gibbs,62.3,2.1,0.7,0.4,-0.1,-0.6
Anthony Roberts,60.4,1.9,1.7,0.1,-0.2,-0.2
Jayson Williams,59.7,2.1,1.8,0.2,0.1,-0.3
Jonathan Bender,58.0,2,1.7,0.5,-0.1,-0.2
Kenny Battle,57.7,1.9,1.3,0.3,0.1,NA
