Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob Nash,,2.1,1.1,0.1,-0.2,-0.7
Chris Copeland,67.8,2.1,1,-0.1,-0.1,NA
Jim Bradley,62.6,2.3,1.3,0.1,NA,NA
Dick Gibbs,62.3,2.1,0.7,0.4,-0.1,-0.6
Anthony Roberts,60.4,1.9,1.7,0.1,-0.2,-0.2
Kenny Battle,57.7,1.9,1.3,0.3,0.1,NA
Rudy Macklin,57.6,1.8,1.4,0.1,NA,NA
Hank Whitney,55.1,1.8,1.1,0.5,NA,NA
Bernard Thompson,54.8,2.1,0.9,0.2,0.1,0
Joey Dorsey,53.0,1.9,0.8,0.1,0,NA
Doug Smith,52.8,2.3,1,0.8,-0.2,-0.9
