Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob Brannum,,2,1.6,1.1,0.8,0
Al Thornton,89.4,2.2,1.6,1.3,1.1,NA
Wesley Johnson,89.3,1.9,1.7,1.3,0.6,0
Charles Davis,89.1,2.1,1.5,1,0.9,0.3
Solomon Jones,86.3,1.9,1.6,0.8,0.5,0
Ben Coleman,83.7,2,1.8,0.8,0.5,0
James Hardy,83.2,2.5,1.8,1.3,0.7,NA
Justin Holiday,83.2,2.5,1.7,1.3,0.6,-0.1
Chuck Terry,82.5,2.3,2.1,1.2,0.7,0.1
Jud Buechler,81.9,1.8,1.5,1.2,0.5,0.4
Togo Palazzi,81.6,2,1.7,1.6,0.8,0.6
