Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bob Brannum,,2,1.6,1.1,0.8,0,NA,NA,NA
Al Thornton,89.4,2.2,1.6,1.3,1.1,NA,NA,NA,NA
Kevin Séraphin,84.4,2.3,1.7,1,0.8,0.2,0.1,-0.2,NA
Ben Coleman,83.7,2,1.8,0.8,0.5,0,NA,NA,NA
James Hardy,83.2,2.5,1.8,1.3,0.7,NA,NA,NA,NA
Chuck Terry,82.5,2.3,2.1,1.2,0.7,0.1,NA,NA,NA
Solomon Jones,81.4,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Taurean Waller-Prince,81.3,2,1.5,1.1,NA,NA,NA,NA,NA
Rory White,80.6,2.6,1.5,1,1,0.4,NA,NA,NA
Thomas Robinson,80.5,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA
Johnny Baum,80.0,2,1.9,1.5,0.4,-0.1,NA,NA,NA
