Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Travis Outlaw,,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0,-0.1
James Bailey,84.6,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3,NA,NA
Glen Davis,81.4,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
Tim Perry,81.3,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1,NA,NA,NA
Kyle O'Quinn,81.2,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA
Earl Lloyd,80.0,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA
Ben Warley,79.8,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,NA,NA,NA
Samaki Walker,79.4,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5,0,-0.1,NA
Jon Leuer,79.3,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA,NA
Michael Beasley,78.8,4.6,3.4,2.4,1.8,1.7,1.6,1,0.5,0.2,-0.1,-1.5
Tony Campbell,78.6,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
