Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,23,MMF,ABA,C,78,NA,1265,182,449,0.405,5,16,0.313,177,433,0.409,0.411,102,144,0.708,171,281,452,58,95,257,471
1970-71,24,MMP,ABA,C,71,NA,974,134,333,0.402,0,5,0,134,328,0.409,0.402,55,77,0.714,100,179,279,86,57,166,323
Career,NA,,ABA,,149,NA,2239,316,782,0.404,5,21,0.238,311,761,0.409,0.407,157,221,0.71,271,460,731,144,152,423,794
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MMF,ABA,,78,NA,1265,182,449,0.405,5,16,0.313,177,433,0.409,0.411,102,144,0.708,171,281,452,58,95,257,471
1 season,NA,MMP,ABA,,71,NA,974,134,333,0.402,0,5,0,134,328,0.409,0.402,55,77,0.714,100,179,279,86,57,166,323
