,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,22,POR,NBA,PG,8,38,55%,45%,,,,-8.7,-13.4,2,3,0,0,0,0,14,0,2
2001-02,23,POR,NBA,PG,19,228,97%,3%,,,,+1.2,-2.5,9,1,8,1,5,0,73,0,4
Career,,,NBA,,27,266,91%,9%,,,,-0.2,-4.1,11,4,8,1,5,0,87,0,6
