Season,Team,Lg,Salary
1987-88,Phoenix Suns,NBA,"$700,000"
1988-89,Phoenix Suns,NBA,"$900,000"
1989-90,Charlotte Hornets,NBA,"$1,100,000"
1990-91,Philadelphia 76ers,NBA,"$1,200,000"
1991-92,Philadelphia 76ers,NBA,"$1,350,000"
1992-93,Philadelphia 76ers,NBA,"$2,300,000"
1993-94,New Jersey Nets,NBA,"$1,200,000"
1994-95,New Jersey Nets,NBA,"$1,560,000"
1995-96,New Jersey Nets,NBA,"$1,920,000"
1996-97,Milwaukee Bucks,NBA,"$2,317,000"
1997-98,Milwaukee Bucks,NBA,"$2,780,400"
1998-99,Milwaukee Bucks,NBA,"$3,244,000"
1999-00,Orlando Magic,NBA,"$3,707,200"
1999-00,Utah Jazz,NBA,"$312,000"
Career,(may be incomplete),,"$24,590,600"
