Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Buddy Hield,,5.9,2.8,1.3,NA,NA,NA
Terry Rozier,88.7,5.6,3.2,1.4,-0.3,NA,NA
Don Carlson,85.1,5.8,2.8,2.6,0.2,NA,NA
Michael Dickerson,82.9,5.5,2.2,1.8,0.1,-0.1,NA
Seth Curry,79.1,4.6,2.4,1.4,0,0,NA
Joe Harris,78.6,5.5,4,0.8,0.2,0,NA
Stephen Chubin,76.8,6.9,4,1.7,NA,NA,NA
Matt Maloney,76.0,5.3,2.2,1.5,0.7,0.1,-0.3
Jamal Murray,75.2,5.5,5.1,1.3,NA,NA,NA
Walt Kirk,75.1,5,2.3,0.4,NA,NA,NA
Earl Tatum,74.9,4.4,2.6,0.7,0,NA,NA
