,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,24,TOT,NBA,SG,82,1888,1%,71%,27%,,,-6.0,-4.1,46,39,48,5,26,1,286,3,43
2016-17,24,NOP,NBA,SG,57,1161,1%,71%,28%,,,-7.2,-7.4,23,15,35,4,15,1,179,3,33
2016-17,24,SAC,NBA,SG,25,727,2%,72%,26%,1%,,-4.1,-0.2,23,24,13,1,11,0,107,0,10
2017-18,25,SAC,NBA,SG,80,2024,13%,83%,4%,,,-4.1,+7.3,53,47,58,10,26,5,358,8,54
2018-19,26,SAC,NBA,SG,82,2615,6%,92%,2%,,,-0.2,+2.1,70,51,86,13,67,15,483,17,54
2019-20,27,SAC,NBA,SG,64,2045,3%,74%,21%,2%,,-1.7,+0.8,64,59,54,12,44,3,459,9,43
Career,,,NBA,,308,8572,6%,81%,12%,1%,,-2.8,+1.7,233,196,246,40,163,24,1586,37,194
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,251,7411,7%,83%,10%,1%,,-2.1,+2.9,210,181,211,36,148,23,1407,34,161
1 season,,NOP,NBA,,57,1161,1%,71%,28%,,,-7.2,-7.4,23,15,35,4,15,1,179,3,33
