,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2017-18,23,LAC,NBA,PG,30,851,.445,8.2,.838,.352,.312,.154,.020,.162,.483,.667,.364,.316,.400,.250,.580,.016,4,1.000,.550,.364,1,0
2018-19,24,LAC,NBA,PG,62,628,.424,7.4,.912,.313,.433,.134,.032,.088,.444,.544,.362,.483,.429,.211,.545,.023,5,1.000,.421,.375,0,0
2019-20,25,ATL,NBA,SG,14,160,.318,11.9,.659,.432,.136,.068,.023,.341,.448,.579,.167,.333,.000,.067,.615,.023,1,.000,.267,.000,1,0
Career,,,NBA,,106,1639,.425,8.2,.854,.343,.348,.138,.026,.146,.463,.609,.356,.386,.385,.203,.567,.020,10,.933,.459,.324,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAC,NBA,,92,1479,.435,7.8,.873,.334,.369,.144,.026,.127,.464,.613,.363,.388,.417,.237,.564,.019,9,1.000,.508,.367,1,0
1 season,,ATL,NBA,,14,160,.318,11.9,.659,.432,.136,.068,.023,.341,.448,.579,.167,.333,.000,.067,.615,.023,1,.000,.267,.000,1,0
