Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,23,SFW,NBA,PF,2,NA,9,0,16,0,NA,NA,NA,0,16,0,4,8,0.5,NA,NA,20,4,NA,4,4
1967-68,25,HSM,ABA,PF,76,NA,2125,6.1,14.7,0.411,0,0,0.5,6,14.7,0.411,3.9,6.4,0.606,NA,NA,11.3,1.8,2.5,3.7,16
1968-69,26,NYA,ABA,C,75,NA,1370,5.7,13.5,0.424,0,0,NA,5.7,13.5,0.424,3.2,5.1,0.619,3.9,7,10.9,1.7,2,5.3,14.6
Career,NA,,TOT,,153,NA,3504,5.9,14.2,0.415,0,0,0.5,5.9,14.2,0.415,3.6,5.9,0.61,3.9,7,11.2,1.8,2.3,4.3,15.4
,NA,,ABA,,151,NA,3495,5.9,14.2,0.416,0,0,0.5,5.9,14.2,0.416,3.6,5.9,0.611,3.9,7,11.1,1.8,2.3,4.3,15.4
,NA,,NBA,,2,NA,9,0,16,0,NA,NA,NA,0,16,0,4,8,0.5,NA,NA,20,4,NA,4,4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HSM,ABA,,76,NA,2125,6.1,14.7,0.411,0,0,0.5,6,14.7,0.411,3.9,6.4,0.606,NA,NA,11.3,1.8,2.5,3.7,16
1 season,NA,NYA,ABA,,75,NA,1370,5.7,13.5,0.424,0,0,NA,5.7,13.5,0.424,3.2,5.1,0.619,3.9,7,10.9,1.7,2,5.3,14.6
1 season,NA,SFW,NBA,,2,NA,9,0,16,0,NA,NA,NA,0,16,0,4,8,0.5,NA,NA,20,4,NA,4,4
