Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,23,SFW,NBA,PF,2,NA,9,0,4,0,NA,NA,NA,0,4,0,0,1,2,0.5,NA,NA,5,1,NA,1,1
1967-68,25,HSM,ABA,PF,76,NA,2125,358,870,0.411,1,2,0.5,357,868,0.411,0.412,228,376,0.606,NA,NA,666,104,146,219,945
1968-69,26,NYA,ABA,C,75,NA,1370,217,512,0.424,0,0,NA,217,512,0.424,0.424,120,194,0.619,148,268,416,66,75,200,554
Career,NA,,TOT,,153,NA,3504,575,1386,0.415,1,2,0.5,574,1384,0.415,0.415,349,572,0.61,148,268,1087,171,221,420,1500
,NA,,ABA,,151,NA,3495,575,1382,0.416,1,2,0.5,574,1380,0.416,0.416,348,570,0.611,148,268,1082,170,221,419,1499
,NA,,NBA,,2,NA,9,0,4,0,NA,NA,NA,0,4,0,0,1,2,0.5,NA,NA,5,1,NA,1,1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HSM,ABA,,76,NA,2125,358,870,0.411,1,2,0.5,357,868,0.411,0.412,228,376,0.606,NA,NA,666,104,146,219,945
1 season,NA,NYA,ABA,,75,NA,1370,217,512,0.424,0,0,NA,217,512,0.424,0.424,120,194,0.619,148,268,416,66,75,200,554
1 season,NA,SFW,NBA,,2,NA,9,0,4,0,NA,NA,NA,0,4,0,0,1,2,0.5,NA,NA,5,1,NA,1,1
