Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1965-66,23,SFW,NBA,PF,2,9,0.5,0.102,NA,0.5,NA,NA,NA,12,NA,NA,NA,-0.1,0,-0.1,-0.385
1967-68,25,HSM,ABA,PF,76,2125,15.8,0.456,0.002,0.432,NA,NA,13.6,7.5,12.4,21.1,NA,0.7,3.1,3.8,0.086
1968-69,26,NYA,ABA,C,75,1370,13.5,0.464,0,0.379,NA,NA,13.6,7.1,11.2,17.9,NA,0,0.9,0.9,0.031
Career,NA,,TOT,,153,3504,14.8,0.458,0.001,0.413,NA,NA,13.6,7.4,11.9,19.8,NA,0.6,4,4.6,0.064
,NA,,ABA,,151,3495,14.9,0.459,0.001,0.412,NA,NA,13.6,7.4,11.9,19.8,NA,0.7,4,4.7,0.065
,NA,,NBA,,2,9,0.5,0.102,NA,0.5,NA,NA,NA,12,NA,NA,NA,-0.1,0,-0.1,-0.385
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HSM,ABA,,76,2125,15.8,0.456,0.002,0.432,NA,NA,13.6,7.5,12.4,21.1,NA,0.7,3.1,3.8,0.086
1 season,NA,NYA,ABA,,75,1370,13.5,0.464,0,0.379,NA,NA,13.6,7.1,11.2,17.9,NA,0,0.9,0.9,0.031
1 season,NA,SFW,NBA,,2,9,0.5,0.102,NA,0.5,NA,NA,NA,12,NA,NA,NA,-0.1,0,-0.1,-0.385
