Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Will Frazier,,3.8,0.9,-0.1,NA,NA,NA,NA,NA
Greg Smith,82.9,4,0.8,0.2,0.2,0.2,NA,NA,NA
Lucas Nogueira,70.1,3.7,1.6,0.7,0,NA,NA,NA,NA
Gustavo Ayón,67.3,3.2,1.2,0.7,NA,NA,NA,NA,NA
Jack Toomay,64.6,3.6,1.6,1.1,NA,NA,NA,NA,NA
Ivica Zubac,63.7,3.2,1.1,1,NA,NA,NA,NA,NA
Dave Hoppen,58.2,2.6,0.8,0.2,0,0,-0.1,NA,NA
Rich Niemann,58.2,4.4,1.4,1.2,0.2,NA,NA,NA,NA
Michael Stewart,58.0,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1
Greg Oden,56.5,4.6,2.2,0.5,NA,NA,NA,NA,NA
Craig Raymond,54.9,4.7,1.7,1,0,0,NA,NA,NA
