Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,23,SFW,NBA,PF,2,,4.5,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.5,1.0,.500,,,2.5,0.5,,0.5,0.5
1966-67,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1967-68,25,HSM,ABA,PF,76,,28.0,4.7,11.4,.411,0.0,0.0,.500,4.7,11.4,.411,.412,3.0,4.9,.606,,,8.8,1.4,1.9,2.9,12.4
1968-69,26,NYA,ABA,C,75,,18.3,2.9,6.8,.424,0.0,0.0,,2.9,6.8,.424,.424,1.6,2.6,.619,2.0,3.6,5.5,0.9,1.0,2.7,7.4
Career,NA,,TOT,,153,,22.9,3.8,9.1,.415,0.0,0.0,.500,3.8,9.0,.415,.415,2.3,3.7,.610,2.0,3.6,7.1,1.1,1.5,2.7,9.8
,NA,,ABA,,151,,23.1,3.8,9.2,.416,0.0,0.0,.500,3.8,9.1,.416,.416,2.3,3.8,.611,2.0,3.6,7.2,1.1,1.5,2.8,9.9
,NA,,NBA,,2,,4.5,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.5,1.0,.500,,,2.5,0.5,,0.5,0.5
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,NA,HSM,ABA,,76,,28.0,4.7,11.4,.411,0.0,0.0,.500,4.7,11.4,.411,.412,3.0,4.9,.606,,,8.8,1.4,1.9,2.9,12.4
1 season,NA,NYA,ABA,,75,,18.3,2.9,6.8,.424,0.0,0.0,,2.9,6.8,.424,.424,1.6,2.6,.619,2.0,3.6,5.5,0.9,1.0,2.7,7.4
1 season,NA,SFW,NBA,,2,,4.5,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.5,1.0,.500,,,2.5,0.5,,0.5,0.5
