,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1965-66,23,SFW,NBA,,0,3,,,,,1,2,,,4,1,,1,1
1967-68,25,HSM,ABA,,12,,1,,,,12,19,,,,,,,31
1968-69,26,NYA,ABA,,12,,0,,,,13,15,,,,,,,28
Career,,,TOT,,12,,,,,,13,19,,,,,,,31
,,,NBA,,0,3,,,,,1,2,,,4,1,,1,1
,,,ABA,,12,,1,,,,13,19,,,,,,,31
,,,,,,,,,,,,,,,,,,,
1 Season,,HSM,ABA,,12,,1,,,,12,19,,,,,,,31
1 Season,,NYA,ABA,,12,,0,,,,13,15,,,,,,,28
1 Season,,SFW,NBA,,0,3,,,,,1,2,,,4,1,,1,1
