Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Johnny Norlander,,9.7,5.8,4.2,0.6,0.2,NA
Montrezl Harrell,90.8,8.7,5.5,4.1,0.9,NA,NA
Donald Sidle,87.3,9.7,5.9,5.6,1.9,NA,NA
Art Heyman,80.2,8.5,6.1,2.7,1.3,0.6,0
Leo Mogus,76.1,8,7.7,5,1.2,NA,NA
Bud Palmer,75.8,7.4,7.2,3.9,NA,NA,NA
Pascal Siakam,74.1,9.3,4.7,1.6,NA,NA,NA
Gary Bradds,73.4,8,3.6,3.4,0.5,0.3,0
Doug Moe,72.8,9.4,5.2,4.8,4.3,1.8,NA
Julius Randle,72.7,6.6,6.1,3.5,1.6,-0.1,NA
Bones McKinney,72.0,7.1,4.9,3.3,0.2,0,-0.2
