Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Johnny Norlander,,9.7,5.8,4.2,0.6,0.2
Montrezl Harrell,90.8,8.7,5.5,4.1,0.9,NA
Donald Sidle,87.3,9.7,5.9,5.6,1.9,NA
Boris Diaw,82.6,8.9,4.6,3,0.8,0.1
Art Heyman,81.1,8.5,6.1,2.7,1.3,0
Curtis Perry,80.1,7.6,5.3,4.8,1.3,0.2
Anthony Mason,79.5,7.4,5.6,4.9,0.1,-0.1
Les Hunter,79.2,8.4,5.6,4.9,2.2,-0.5
Antonio McDyess,79.2,9.4,6.2,4.2,3.6,1.8
Matt Harpring,78.4,8.8,6.1,2.6,2.6,0.2
LaPhonso Ellis,77.8,8,7.6,3.6,1,0
