Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jerry Reynolds,,3.7,1.6,1.3,1.3,1,0.9,0.6,0
Keyon Dooling,84.6,3.7,2.1,1.5,1.4,1.1,0.3,0.3,0
Eddie House,83.5,3.9,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Gary Grant,80.9,3,1.7,1.6,1.4,1.3,1.3,0.6,-0.4
Rick Adelman,80.3,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA
Jon Sundvold,80.0,3,1.5,1.2,1,1,0.8,0.2,0.2
Al Ferrari,76.3,3.3,1.9,1.4,1.4,0.9,0,NA,NA
John Barnhill,76.1,4.6,2.5,1.7,1.1,1,1,0.7,0.4
Charles Johnson,76.1,3.7,2.8,2.4,1.4,1.1,1,0.9,NA
Gary Neal,75.3,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA
Matthew Dellavedova,74.9,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA
