Season,Team,Lg,Salary
1992-93,New York Knicks,NBA,"$588,000"
1993-94,New York Knicks,NBA,"$764,000"
1994-95,New York Knicks,NBA,"$940,000"
1995-96,New York Knicks,NBA,"$1,116,000"
1996-97,Toronto Raptors,NBA,"$1,295,000"
1997-98,Dallas Mavericks,NBA,"$537,500"
1998-99,Dallas Mavericks,NBA,"$645,000"
1999-00,Dallas Mavericks,NBA,"$752,500"
2000-01,Dallas Mavericks,NBA,"$2,100,000"
2001-02,Washington Wizards,NBA,"$2,418,750"
2002-03,Detroit Pistons,NBA,"$2,687,500"
2003-04,Detroit Pistons,NBA,"$2,956,250"
Career,(may be incomplete),,"$16,800,500"
