Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Hubert Davis,,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1
Craig Hodges,89.6,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,NA,NA
Matt Guokas,89.5,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,NA,NA
Larry Steele,89.1,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA,NA,NA
Lucious Harris,89.0,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4
Earl Boykins,88.5,6,4.5,4.1,3.5,2.9,2.3,1,1,0.8,0.3,0,-0.3
Quinn Buckner,88.5,5.4,4.6,4.4,3.2,2,1.6,1.5,1.3,0.5,0.2,NA,NA
Tyreke Evans,88.3,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,NA,NA
Bob Weiss,87.6,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0
Foots Walker,87.4,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA
Nate Robinson,87.2,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0,NA
