Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Rick Brunson,,1.9,0.7,0.6,0.6,0.3,-0.1,-0.1,-0.2,-0.2,NA,NA
John Warren,71.0,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA,NA
Kevin McKenna,69.8,1.7,0.9,0.7,0.6,0.5,-0.3,NA,NA,NA,NA,NA
Glenn Robinson,66.8,2.5,0.8,0.7,0.6,0.1,NA,NA,NA,NA,NA,NA
A.J. Price,63.4,2.2,1.2,0.7,0.3,0.3,0,NA,NA,NA,NA,NA
Raul Neto,62.4,1.8,1.1,0.9,0.7,NA,NA,NA,NA,NA,NA,NA
Ben McLemore,61.6,2.5,0.8,0.5,0.4,0.3,0.2,NA,NA,NA,NA,NA
Lloyd Walton,59.7,1.9,1.1,1.1,1.1,0.1,NA,NA,NA,NA,NA,NA
Mike Davis,59.5,2.2,1.2,0.9,0.6,NA,NA,NA,NA,NA,NA,NA
Mo Layton,59.0,1.9,1.1,1,0.3,0.1,NA,NA,NA,NA,NA,NA
Doug Overton,58.8,1.7,0.9,0.6,0.4,0.2,0.1,-0.2,-0.2,-0.3,-0.3,-0.4
