Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Travis Diener,,2.5,1.9,0.7,0.6,0,NA,NA,NA
Chris Douglas-Roberts,91.7,2.4,1.6,0.7,0.6,0.1,0,NA,NA
Jeff Judkins,87.5,3,1.8,0.7,0.6,0.2,NA,NA,NA
Hollis Thompson,86.0,2.6,2,1.2,0.7,NA,NA,NA,NA
Bo Lamar,85.5,2.5,1.5,1,0.5,NA,NA,NA,NA
Maurice McHartley,85.5,2.4,1.8,0.8,NA,NA,NA,NA,NA
Shabazz Napier,82.2,3.2,2,0.6,0.5,0.1,NA,NA,NA
Chris Quinn,81.4,2.6,2.1,0.6,0.1,0.1,-0.2,NA,NA
Rodrigue Beaubois,80.6,2.2,2,0.4,0.2,NA,NA,NA,NA
Tom Garrick,80.4,2.5,1.8,1.4,0.2,NA,NA,NA,NA
Marcus Banks,80.0,2.3,1.9,0.8,0.7,0.5,0.4,0,0
