Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Travis Diener,,2.5,1.9,0.7,0.6,0
Chris Douglas-Roberts,92.3,2.4,1.6,0.7,0.6,0.1
Jeff Judkins,87.5,3,1.8,0.7,0.6,0.2
Marcus Banks,86.4,2.3,1.9,0.8,0.7,0.4
Hollis Thompson,86.0,2.6,2,1.2,0.7,NA
Bo Lamar,85.5,2.5,1.5,1,0.5,NA
Maurice McHartley,85.5,2.4,1.8,0.8,NA,NA
Chris Quinn,84.5,2.6,2.1,0.6,0.1,0.1
Alonzo Gee,82.7,2.4,1.9,1,0.9,0.4
Shabazz Napier,82.2,3.2,2,0.6,0.5,0.1
Rodrigue Beaubois,80.6,2.2,2,0.4,0.2,NA
