Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ryan Gomes,,4.8,4.2,3.1,2.5,2.5,2.4,0,-0.2,NA,NA
Kenny Walker,88.0,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
Jackie Moreland,86.2,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,NA,NA
Maurice Harkless,85.5,4.2,3.4,3.2,2.9,2.8,2.4,0.3,NA,NA,NA
Michael Kidd-Gilchrist,84.3,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA
Andray Blatche,84.2,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA
Scott May,82.7,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA,NA
Bill Calhoun,82.1,4.5,4.1,3.9,2.2,2.1,1.4,0.4,NA,NA,NA
Jeff Cook,81.9,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA
Len Chappell,81.6,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
Stromile Swift,81.5,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA
