Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tom Riker,,0.2,0.2,0,NA,NA
Joe Cooper,68.5,0.2,0.1,0,NA,NA
Paul Davis,67.9,0.2,0.2,0,0,NA
Patrick O'Bryant,65.2,0.3,0.2,0,0,NA
Mouhamed Sene,63.5,0.2,0.2,0,NA,NA
Chris Engler,48.9,0.3,0.2,0.2,0,0
Rich King,47.1,0.2,0.1,0,-0.1,NA
Dan O'Sullivan,46.8,0.1,0.1,0,0,NA
Alan Ogg,35.1,0.5,0.3,0,NA,NA
Matt Fish,34.9,0.4,0.2,0,NA,NA
Oleksiy Pecherov,19.3,0.5,0.1,0,NA,NA
