Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Stuart Gray,,1.1,0.9,0.7,0.6,0.4,0,-0.4
Jerome James,71.8,1.2,0.9,0.8,0.7,-0.1,-0.2,-0.5
Eric Fernsten,69.4,1.2,1,0.5,0.5,0.2,0,NA
Rickey Brown,66.5,1.8,0.9,0.9,0.7,0.4,NA,NA
Walt Davis,66.2,1.6,0.9,0.9,0.8,0.6,NA,NA
Mark McNamara,65.2,1.2,0.7,0.6,0.4,0.1,0,-0.2
Dick Cunningham,62.1,1.2,1,1,1,0,0,0
Johan Petro,60.3,1.7,1,0.8,0.7,0.4,0.4,0.2
Steve Hayes,57.5,1.2,0.9,0.3,0.3,0.2,NA,NA
Jawann Oldham,54.5,1.3,1,0.5,0.3,0,0,0
Jelani McCoy,49.4,1.5,1.4,1.1,1,0.1,0,0
