Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Stuart Gray,,1.1,0.9,0.7,0.6,0.4,0,-0.4,NA,NA,NA
Eric Fernsten,69.4,1.2,1,0.5,0.5,0.2,0,NA,NA,NA,NA
Rickey Brown,66.5,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA,NA
Walt Davis,66.2,1.6,0.9,0.9,0.8,0.6,NA,NA,NA,NA,NA
Jawann Oldham,64.0,1.3,1.2,1,0.5,0.3,0,0,0,0,0
Dick Cunningham,62.1,1.2,1,1,1,0,0,0,NA,NA,NA
Jerome James,61.7,1.2,0.9,0.8,0.7,0.1,0,-0.1,-0.2,-0.5,NA
Steve Hayes,57.5,1.2,0.9,0.3,0.3,0.2,NA,NA,NA,NA,NA
Johan Petro,55.6,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2,NA,NA
Mark McNamara,55.4,1.2,0.7,0.6,0.4,0.1,0,0,-0.2,NA,NA
Greg Dreiling,52.3,1.1,0.6,0.6,0.5,0.4,0.4,0.2,0.2,0.1,0.1
