Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,23,NYK,NBA,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-88,25,NYK,NBA,C,1,0,16:00,4,8,0.5,0,0,NA,1,1,1,1,6,0,0,1,1,1,9
1988-89,26,NYK,NBA,C,1,0,17:00,2,8,0.25,0,0,NA,0,4,0,1,6,2,1,2,3,2,4
1989-90,27,NYK,NBA,C,1,1,27:00,5,9,0.556,0,0,NA,2,2,1,1,10,1,1,5,5,5,12
1990-91,28,NYK,NBA,C,1,1,30:00,8,10,0.8,0,0,NA,2,2,1,2,10,0,1,4,2,5,18
1991-92,29,NYK,NBA,C,1,1,17:00,4,7,0.571,0,0,NA,2,5,0.4,2,4,0,2,1,2,3,10
1992-93,30,NYK,NBA,C,1,0,25:00,7,11,0.636,0,0,NA,1,1,1,3,10,1,2,2,4,4,15
1993-94,31,NYK,NBA,C,1,0,24:00,7,15,0.467,0,0,NA,6,7,0.857,4,8,1,0,0,1,2,20
1994-95,32,NYK,NBA,C,1,0,22:00,4,7,0.571,0,0,NA,2,2,1,0,3,1,1,0,5,3,10
1995-96,33,NYK,NBA,C,1,0,12:00,3,7,0.429,0,0,NA,2,2,1,1,3,1,3,1,0,2,8
1996-97,34,NYK,NBA,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,9,3,190,44,82,0.537,0,0,NA,18,26,0.692,15,60,7,11,16,23,27,106
