,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2011-12,23,ORL,NBA,SF,17,115,,26%,72%,2%,,-28.2,-30.2,9,0,4,1,10,0,11,3,1
2012-13,24,OKC,NBA,SG,39,290,,77%,23%,,,-3.3,-14.1,3,2,17,2,6,2,34,1,9
2013-14,25,MIA,NBA,SG,1,1,,100%,,,,+33.3,+28.0,0,0,0,0,0,0,0,0,0
2016-17,28,TOT,NBA,SG,62,777,18%,63%,19%,,,+4.0,+4.3,20,6,34,6,18,9,134,6,15
2016-17,28,CLE,NBA,SG,61,752,19%,62%,19%,,,+3.7,+0.5,20,6,33,6,16,9,134,5,14
2016-17,28,DAL,NBA,SG,1,25,8%,81%,11%,,,+13.5,+16.8,0,0,1,0,2,0,0,1,1
2017-18,29,TOT,NBA,SG,58,724,3%,37%,60%,2%,,-12.2,-14.4,12,3,37,2,2,4,114,1,6
2017-18,29,MIL,NBA,SG,31,480,4%,43%,52%,2%,,-9.8,-11.0,8,0,30,2,2,3,65,1,1
2017-18,29,NOP,NBA,SG,27,244,,24%,76%,1%,,-16.7,-19.7,4,3,7,0,0,1,49,0,5
Career,,,NBA,,177,1907,8%,53%,38%,1%,,-5.2,-7.7,44,11,92,11,36,15,293,11,31
,,,,,,,,,,,,,,,,,,,,,,
1 season,,CLE,NBA,,61,752,19%,62%,19%,,,+3.7,+0.5,20,6,33,6,16,9,134,5,14
1 season,,OKC,NBA,,39,290,,77%,23%,,,-3.3,-14.1,3,2,17,2,6,2,34,1,9
1 season,,MIL,NBA,,31,480,4%,43%,52%,2%,,-9.8,-11.0,8,0,30,2,2,3,65,1,1
1 season,,NOP,NBA,,27,244,,24%,76%,1%,,-16.7,-19.7,4,3,7,0,0,1,49,0,5
1 season,,ORL,NBA,,17,115,,26%,72%,2%,,-28.2,-30.2,9,0,4,1,10,0,11,3,1
1 season,,DAL,NBA,,1,25,8%,81%,11%,,,+13.5,+16.8,0,0,1,0,2,0,0,1,1
1 season,,MIA,NBA,,1,1,,100%,,,,+33.3,+28.0,0,0,0,0,0,0,0,0,0
