Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
DeAndre Liggins,,0.6,0.5,0.5,0,0
Yakhouba Diawara,78.1,0.7,0.5,0.5,-0.1,NA
K.J. McDaniels,75.9,0.6,0.5,0.2,NA,NA
JaKarr Sampson,73.7,0.8,0.6,0.5,0.1,NA
Pearl Washington,73.7,0.7,0.7,0.5,NA,NA
Acie Law,71.8,0.7,0.6,0.4,-0.1,NA
Mario West,69.9,0.5,0.4,0.3,0.2,NA
Shawn Respert,69.6,0.8,0.7,0.5,0.1,NA
Tracy Moore,67.3,0.6,0.5,0.3,0.3,0.1
Kennard Winchester,66.8,0.5,0.4,0.3,NA,NA
Darrin Hancock,64.1,0.5,0.4,0.2,NA,NA
