Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Jo Jo White,,8,7.4,7.3,6.7,6.5,6.1,5.4,2,1.7,1.5,1.1,0.1,NA,NA
Freddie Lewis,90.6,7.6,7.5,7.3,7.2,6.2,6,5.2,3.2,3,0.5,0,NA,NA,NA
Jerry Sloan,89.3,7.2,7,6.8,6.5,6.4,6,2.9,2.6,1.9,1.4,0.9,NA,NA,NA
Jeff Teague,88.4,8.1,7.7,6.1,6,5.9,5.2,4.9,2.2,1.7,0.6,NA,NA,NA,NA
Tom Gola,86.9,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA,NA,NA,NA
Mike Newlin,86.4,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5,NA,NA,NA
Jason Richardson,86.3,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9,2.8,1.4,0.4,NA
Bob Davies,86.2,8.6,7.7,7.7,7.4,6.9,6.3,5.2,NA,NA,NA,NA,NA,NA,NA
Rickey Green,85.4,7.9,6.7,6.6,5.7,5.6,5.2,3.3,1.8,1.8,1.2,0.7,0.5,0.3,-0.1
Richard Hamilton,85.3,8.1,8.1,7.7,7.6,7.4,7.3,4.5,4,2.4,1.8,1.4,1.3,0.7,0.4
Allan Houston,85.2,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,0.7,-1.2,NA,NA
