Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,24,BOS,NBA,PG,1,0,22:00,5,10,0.5,NA,NA,NA,0,0,NA,NA,9,2,NA,NA,NA,2,10
1971-72,25,BOS,NBA,PG,1,0,18:00,6,15,0.4,NA,NA,NA,0,2,0,NA,4,3,NA,NA,NA,1,12
1972-73,26,BOS,NBA,PG,1,0,18:00,3,7,0.429,NA,NA,NA,0,0,NA,NA,5,5,NA,NA,NA,0,6
1973-74,27,BOS,NBA,PG,1,0,22:00,6,12,0.5,NA,NA,NA,1,3,0.333,2,6,4,2,1,NA,1,13
1974-75,28,BOS,NBA,PG,1,0,13:00,1,2,0.5,NA,NA,NA,5,6,0.833,0,1,4,0,0,NA,1,7
1975-76,29,BOS,NBA,PG,1,0,16:00,3,7,0.429,NA,NA,NA,0,0,NA,0,1,1,2,0,NA,1,6
1976-77,30,BOS,NBA,PG,1,0,15:00,5,7,0.714,NA,NA,NA,0,0,NA,0,1,2,0,0,NA,0,10
Career,NA,,NBA,,7,0,124,29,60,0.483,NA,NA,NA,6,11,0.545,2,27,21,4,1,NA,6,64
