Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Didier Ilunga-Mbenga,,0.6,0.5,0.5,0.4,0.3,0.1,0
Eric Riley,88.9,0.7,0.6,0.5,0.4,0.3,NA,NA
Steve Scheffler,79.8,0.7,0.6,0.6,0.4,0.4,0.3,0
Todd Fuller,60.0,0.7,0.7,0.6,0.2,0,NA,NA
Greg Dreiling,56.6,1.1,0.5,0.4,0.2,0.2,0.1,0.1
Hamed Haddadi,53.0,0.6,0.6,0.4,0.1,0,NA,NA
Eric Fernsten,52.5,1.2,1,0.5,0.5,0.2,0,NA
Greg Kite,50.7,0.8,0.7,0.3,0.1,0.1,0.1,0
Mamadou N'Diaye,49.7,0.8,0.6,0.3,0.2,0,NA,NA
Roger Brown,47.5,0.9,0.7,0.4,0.2,0.1,NA,NA
Dave Feitl,45.6,0.5,0.4,0.3,0.2,0.1,NA,NA
