Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Sasha Vujačić,,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,0.1,-0.1,NA,NA,NA
Dudley Bradley,87.3,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA,NA
Jim King,87.1,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,NA,NA,NA
Rod Thorn,87.1,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA,NA,NA
John Battle,85.7,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA,NA,NA
Jacque Vaughn,85.4,3.5,3,2,1.8,1.7,1.6,1.5,0.4,0.1,0.1,0,-0.4,NA
Fatty Taylor,85.0,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA,NA,NA
Keyon Dooling,84.8,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.6,0.3,0.3,0.2,0
Frank Johnson,84.1,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,NA,NA,NA
Clint Richardson,83.8,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA,NA,NA
Gerald Henderson,83.2,3.6,3.6,3.3,2.4,2,2,1,0.4,NA,NA,NA,NA,NA
