Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Sasha Vujačić,,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,0.1,-0.1
Keyon Dooling,88.4,3.7,3.7,2.1,1.5,1.4,1.1,0.7,0.3,0.3,0
Dudley Bradley,87.3,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA
Jim King,87.1,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1
Rod Thorn,87.1,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA
John Battle,85.7,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2
Tyronn Lue,85.6,3.7,3.7,2.7,2.5,2.1,2,1.2,0.4,0.3,0.2
Fatty Taylor,85.0,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA
Jacque Vaughn,84.8,3.5,3,2,1.8,1.7,1.5,0.4,0.1,0,-0.4
Frank Johnson,84.1,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
Clint Richardson,83.8,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA
