Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jerian Grant,,3.3,2.5,1.7,0.8
Gary Neal,93.9,3.5,2.5,1.9,1
John Battle,93.0,3.2,2.3,1.5,1
Rick Adelman,92.9,3.4,2.2,1.6,0.7
Tony Snell,92.1,3.4,2.4,1.6,0.4
Jeremy Lamb,89.8,3.3,2.7,1.6,0.2
Robert Pack,89.7,3.1,2.2,1.7,1.1
Butch Carter,89.5,3,2.6,1.3,0.9
Khalid Reeves,89.4,3.5,2.5,1.2,1.1
Steve Kerr,89.2,3.2,2.4,1.3,0.4
Bill Gabor,89.1,3.5,2.8,1.5,0.5
