Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jerian Grant,,3.3,2.5,1.7,0.8,NA,NA,NA,NA
Roger Phegley,91.9,3.7,2.6,1.6,0.8,0,-0.1,NA,NA
Khalid Reeves,88.3,3.5,2.5,1.2,1.1,0.1,0,NA,NA
Norman Powell,87.6,2.8,2.4,1.6,0.6,NA,NA,NA,NA
Mike Butler,86.6,3.1,2.3,1.6,0.1,NA,NA,NA,NA
Tyus Jones,85.1,3.6,3,1.5,0.3,NA,NA,NA,NA
Dennis Hopson,84.4,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA
Greg Minor,82.8,3,2.1,1.7,0.8,0.6,NA,NA,NA
Eldridge Recasner,82.5,2.9,2.6,2.5,0.8,0.1,0,0,0
Devin Booker,82.1,3.5,2.4,2,1.9,NA,NA,NA,NA
Quincy Pondexter,81.2,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA
