Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Darwin Cook,,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA,NA,NA,NA
Chris Childs,92.5,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA,NA,NA,NA
Larry Drew,88.3,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0,NA,NA,NA
Chris Whitney,87.5,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3,NA,NA
George Senesky,87.1,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA,NA,NA,NA
Lionel Hollins,86.8,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,NA,NA,NA
Anthony Morrow,86.8,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA,NA
Jerry Sichting,86.7,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA,NA,NA
Jeremy Lin,86.4,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA,NA,NA,NA
Jodie Meeks,86.2,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1,NA,NA,NA
Earl Boykins,86.0,6,4.5,4.1,3.5,2.9,2.3,1,1,0.8,0.3,0.1,0,-0.3
