Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Darwin Cook,,6,3.9,3.6,3,2.7,1.6,1.2,0.9
Vernon Maxwell,93.8,5.9,3.9,3.9,3.5,2.8,1.9,1.5,0.9
Chris Childs,92.7,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1
Darrell Walker,90.4,6.3,3.8,3.7,2.9,2.8,2.3,2.1,0.8
Thabo Sefolosha,89.4,6.8,4.1,4,3,2.2,1.8,1.5,0.8
Steve Blake,89.1,5.8,3.8,3.3,2.8,2.1,1.8,0.7,0.3
Anthony Morrow,88.8,5.7,3.5,3,3,2.4,1.9,1.7,0.7
Tyreke Evans,88.6,5.4,4.6,4.4,3.1,2.7,1.6,1.4,0.7
Jerry Sichting,87.9,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3
George Senesky,87.1,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3
Eric Gordon,86.7,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7
