Season,Team,Lg,Salary
1984-85,New Jersey Nets,NBA,"$255,000"
1985-86,New Jersey Nets,NBA,"$275,000"
1988-89,San Antonio Spurs,NBA,"$400,000"
Career,(may be incomplete),,"$930,000"
