Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Mike Green,,8.7,4.7,3.9,3.8,3.3,2.8,0.4
Elden Campbell,86.4,8.2,7,4.2,3.8,3.3,2.6,1.1
Danny Schayes,85.2,8.8,4.6,3.9,2.8,2,1.7,1.2
Rasho Nesterović,83.3,7.2,5.2,4.2,4.1,3,1.5,0
Mark Eaton,82.5,6.6,5.4,4.1,4,3.7,3.6,0.8
Marvin Webster,82.4,8.7,3.9,3.2,2.8,2.7,1.3,0.2
Kelly Olynyk,82.0,5.5,4.7,4.1,4.1,3.6,2.9,NA
Tom Boerwinkle,81.9,9,7.4,4.4,3.8,2.6,1.7,0.5
Andrew Bogut,80.9,7.5,5.5,5.4,4.8,4,2.6,0.5
Tom Burleson,80.9,8.2,4.4,4.3,3.3,2.7,0.2,-0.1
Channing Frye,80.8,6.4,4.7,3.7,3.5,3.2,0.9,0.8
