Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mike Green,,8.7,4.7,3.9,3.8,3.3,2.8,0.4,NA,NA,NA,NA,NA
Marvin Webster,83.3,8.7,4,3.9,3.2,2.8,2.7,2.5,1.3,0.2,0.2,NA,NA
Kelly Olynyk,82.0,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA,NA,NA,NA,NA
Tom Burleson,80.9,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA,NA,NA,NA,NA
Stan Miasek,80.5,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA,NA,NA,NA
Cody Zeller,79.8,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA,NA,NA
Jack Nichols,78.4,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA,NA,NA
Elmore Smith,78.2,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA,NA
Darrall Imhoff,75.8,8.2,5.9,5,4.9,2.4,2.1,0.9,0.7,0.7,0,-0.2,-0.6
Kevin Duckworth,75.7,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0,-0.1,-0.2,-0.5,NA
John Gianelli,75.5,5.5,4.4,3.6,3.2,3,2.5,1.2,-0.4,NA,NA,NA,NA
