Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Andrea Bargnani,,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1
Derek Strong,91.2,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0
Glen Davis,89.7,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA
Scott Williams,88.4,3.9,3.9,3.1,2.6,2.3,1.7,1.7,0.9,0.3,-0.1
Francisco García,87.7,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2
Howard Porter,86.6,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA
Barry Clemens,86.5,3.5,3.5,2.8,1.8,1.7,1.6,1.6,0.9,0.1,0.1
Pat Cummings,85.1,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6
John Brown,85.0,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA
Ronny Turiaf,85.0,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0
Jeff Cook,84.7,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA
