Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Andrea Bargnani,,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA,NA
Derek Strong,91.2,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0,NA,NA
Glen Davis,89.7,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA,NA
Tony Campbell,87.7,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3,NA
Francisco García,87.7,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA,NA
Howard Porter,86.6,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA,NA,NA
John Brown,85.0,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA,NA,NA
Ronny Turiaf,85.0,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0,NA,NA
Jeff Cook,84.7,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA,NA,NA
David Benoit,84.6,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA,NA,NA
Pat Cummings,84.4,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
