Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
John Henson,,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA,NA,NA
Jim Davis,89.3,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,NA,NA,NA
Blair Rasmussen,87.5,5.2,4.2,3.3,3,1.8,1.7,0,-0.1,NA,NA,NA
Kurt Nimphius,86.3,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA
Kevin Kunnert,85.2,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA
Oliver Miller,84.3,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0,NA,NA
Bismack Biyombo,83.8,5.9,4,3.2,2.9,2.9,2,1.4,0.6,NA,NA,NA
Ömer Aşık,83.0,5.5,5,2.7,2.6,2.4,1.7,1,-0.1,NA,NA,NA
Eddy Curry,83.0,4.7,4.3,3.5,3.3,3,1.8,1.7,0,-0.1,-0.1,-0.3
Randy Breuer,82.9,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1,0
Aron Baynes,82.7,4.1,3.9,3,3,2.4,0.6,0.1,NA,NA,NA,NA
