Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Henson,,4.9,3.6,3.3,2.7,2.3,1.9,0.6
George Johnson,92.2,5,3.6,3.5,3.4,2.6,2,0.3
Joe Meriweather,91.5,4.8,3.8,2.6,2.6,2.3,2.2,0.8
Bob Ferry,87.8,4.9,3.9,3.1,2.7,1.4,1.2,1.2
Blair Rasmussen,87.5,5.2,4.2,3.3,3,1.8,1.7,-0.1
Zaza Pachulia,87.4,4.8,3.9,3.9,2.9,2.7,1.1,0.3
Bismack Biyombo,87.0,5.9,4,3.2,2.9,2.9,1.4,0.6
Kurt Nimphius,86.8,4.8,3.3,3.1,2.9,1.5,1,0.7
Mel Counts,85.7,5,4.3,4.2,2.9,2.7,1.5,1
Wayne Cooper,85.4,4.1,3.5,2.9,2.9,2.8,1.5,1.2
Clemon Johnson,85.0,4.3,4,3.7,3.5,2.2,1.7,1.2
