,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2004-05,22,IND,NBA,C,43,760,.576,4.8,1.000,.538,.288,.136,.038,.000,.576,.667,.472,.480,.429,,.594,.120,22,,,,0,0
2005-06,23,IND,NBA,C,67,1034,.503,4.6,1.000,.520,.323,.119,.037,.000,.503,.614,.442,.200,.455,,.703,.133,38,,,,0,0
2006-07,24,IND,NBA,C,24,190,.517,4.4,1.000,.466,.448,.069,.017,.000,.517,.593,.500,.250,.000,,.533,.034,2,,,,0,0
2007-08,25,IND,NBA,C,55,702,.529,5.0,1.000,.494,.312,.112,.082,.000,.529,.679,.358,.474,.357,,.533,.129,20,,,,0,0
Career,,,NBA,,189,2686,.530,4.8,1.000,.514,.322,.118,.047,.000,.530,.642,.436,.349,.394,,.618,.120,82,,,,0,0
