Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
David Harrison,,1.5,1.4,0.4,-0.2,NA,NA,NA,NA
Earl Williams,77.7,1.3,1,0.4,0,NA,NA,NA,NA
Clifford Rozier,75.7,1.6,1.3,1.1,-0.1,NA,NA,NA,NA
Robert Sacre,69.0,1.4,0.8,0.3,-0.1,NA,NA,NA,NA
Justin Hamilton,67.4,2.1,1.5,0.1,NA,NA,NA,NA,NA
Henry Sims,63.0,2.1,2.1,0.4,0,NA,NA,NA,NA
Bob Elliott,62.4,1.6,0.8,0.7,NA,NA,NA,NA,NA
Zendon Hamilton,61.3,1.8,1.1,0.1,0.1,0,0,NA,NA
Pétur Guðmundsson,60.2,1.4,0.6,0.3,-0.1,NA,NA,NA,NA
Gene Tormohlen,58.1,1.4,0.8,0.1,0,0,0,NA,NA
Jelani McCoy,54.7,1.5,1.4,1.1,1,0.1,0,0,0
