Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Beno Udrih,,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.3,1.2,1,0.8,0.4,NA
John Salmons,87.0,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,NA
Gerald Henderson,86.4,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0,NA
Jon Barry,84.5,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Brevin Knight,83.5,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,NA,NA
Leandro Barbosa,83.3,8.2,5.5,5,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.6,0.4
Raja Bell,83.1,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,NA,NA
Jim Cleamons,82.5,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA,NA,NA,NA,NA
Travis Best,82.1,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA,NA,NA,NA
Nate Robinson,82.0,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0,NA,NA,NA
Larry Hughes,81.3,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,NA
