Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1963-64,24,SFW,NBA,PF,12,NA,23.8,2.4,9.3,0.259,NA,NA,NA,2.4,9.3,0.259,0.259,1.9,2.8,0.697,NA,NA,4.2,1.5,NA,NA,3.5,6.8
1964-65,25,BAL,NBA,PF,10,NA,19.6,2.7,6.4,0.422,NA,NA,NA,2.7,6.4,0.422,0.422,1.4,2.2,0.636,NA,NA,5.7,0.8,NA,NA,2.5,6.8
1967-68,28,DNR,ABA,PF,5,NA,41.8,7,20,0.35,0,0.2,0,7,19.8,0.354,0.35,8.6,10.8,0.796,NA,NA,8.8,2.2,NA,4.4,5,22.6
1968-69,29,DNR,ABA,PF,7,NA,26.7,3.6,9,0.397,0,0,NA,3.6,9,0.397,0.397,4.9,6.4,0.756,NA,NA,6.7,1.7,NA,2.6,3.1,12
1970-71,31,TEX,ABA,PF,4,NA,31.5,2.8,8.5,0.324,0,0,NA,2.8,8.5,0.324,0.324,3.3,4.3,0.765,4,4,8,2.8,NA,2.3,3,8.8
Career,NA,,TOT,,38,NA,26.4,3.3,9.8,0.34,0,0.1,0,3.3,9.8,0.341,0.34,3.3,4.5,0.743,4,4,6.1,1.6,NA,3.1,3.3,10
,NA,,NBA,,22,NA,21.9,2.5,8,0.318,NA,NA,NA,2.5,8,0.318,0.318,1.7,2.5,0.673,NA,NA,4.9,1.2,NA,NA,3,6.8
,NA,,ABA,,16,NA,32.6,4.4,12.3,0.36,0,0.1,0,4.4,12.3,0.362,0.36,5.6,7.3,0.776,4,4,7.7,2.1,NA,3.1,3.7,14.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DNR,ABA,,12,NA,33,5,13.6,0.368,0,0.1,0,5,13.5,0.37,0.368,6.4,8.3,0.778,NA,NA,7.6,1.9,NA,3.3,3.9,16.4
1 season,NA,SFW,NBA,,12,NA,23.8,2.4,9.3,0.259,NA,NA,NA,2.4,9.3,0.259,0.259,1.9,2.8,0.697,NA,NA,4.2,1.5,NA,NA,3.5,6.8
1 season,NA,BAL,NBA,,10,NA,19.6,2.7,6.4,0.422,NA,NA,NA,2.7,6.4,0.422,0.422,1.4,2.2,0.636,NA,NA,5.7,0.8,NA,NA,2.5,6.8
1 season,NA,TEX,ABA,,4,NA,31.5,2.8,8.5,0.324,0,0,NA,2.8,8.5,0.324,0.324,3.3,4.3,0.765,4,4,8,2.8,NA,2.3,3,8.8
