Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1963-64,24,SFW,NBA,PF,12,286,4.4,0.32,NA,0.295,NA,NA,NA,8.2,NA,NA,NA,NA,-0.9,0.4,-0.5,-0.084
1964-65,25,BAL,NBA,PF,10,196,11.1,0.461,NA,0.344,NA,NA,NA,5.4,NA,NA,NA,NA,0,0.2,0.2,0.049
1967-68,28,DNR,ABA,PF,5,209,13.8,0.457,0.01,0.54,NA,NA,10.5,8.5,NA,15.1,27.6,NA,0,0.1,0.1,0.022
1968-69,29,DNR,ABA,PF,7,187,13.3,0.507,0,0.714,NA,NA,11.1,8.9,NA,17.9,20.2,NA,0.2,0,0.2,0.063
1970-71,31,TEX,ABA,PF,4,126,8.7,0.422,0,0.5,NA,NA,NA,11,NA,17.8,NA,NA,-0.1,0.2,0.1,0.03
Career,NA,,TOT,,38,1004,9.9,0.425,0.003,0.458,NA,NA,10.8,8.2,NA,16.5,24.1,NA,-0.7,0.8,0.1,0.006
,NA,,NBA,,22,482,7.1,0.372,NA,0.313,NA,NA,NA,7,NA,NA,NA,NA,-0.8,0.5,-0.3,-0.03
,NA,,ABA,,16,522,12.4,0.468,0.005,0.589,NA,NA,10.8,9.3,NA,16.5,24.1,NA,0.1,0.3,0.4,0.039
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DNR,ABA,,12,396,13.6,0.477,0.006,0.607,NA,NA,10.8,8.7,NA,16.2,24.1,NA,0.2,0.1,0.3,0.041
1 season,NA,SFW,NBA,,12,286,4.4,0.32,NA,0.295,NA,NA,NA,8.2,NA,NA,NA,NA,-0.9,0.4,-0.5,-0.084
1 season,NA,BAL,NBA,,10,196,11.1,0.461,NA,0.344,NA,NA,NA,5.4,NA,NA,NA,NA,0,0.2,0.2,0.049
1 season,NA,TEX,ABA,,4,126,8.7,0.422,0,0.5,NA,NA,NA,11,NA,17.8,NA,NA,-0.1,0.2,0.1,0.03
