Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,BLK,TOV,PF,PTS
1968-69,29,DNR,ABA,PF,1,NA,9:00,1,2,0.5,0,0,NA,4,4,1,1,5,0,NA,0,2,6
Career,NA,,ABA,,1,NA,9,1,2,0.5,0,0,NA,4,4,1,1,5,0,NA,0,2,6
